pais	ano	sexo	faixa etaria	suicidios	populacao	suicides/100k pop	country-year	HDI_for_year	 gdp_for_year 	gdp_per_capita 	geracao
Argentina	2016	masculino	35-54 anos	16	350633	4.56	Armenia2016		10,546,135,160	3788	Generation X
Argentina	2016	masculino	15-24 anos	5	202220	2.47	Armenia2016		10,546,135,160	3788	Millenials
Argentina	2016	feminino	75+ anos	2	102414	1.95	Armenia2016		10,546,135,160	3788	Silent
Argentina	2016	feminino	55-74 anos	6	308349	1.95	Armenia2016		10,546,135,160	3788	Boomers
Argentina	2016	masculino	25-34 anos	4	255665	1.56	Armenia2016		10,546,135,160	3788	Millenials
Argentina	2016	feminino	35-54 anos	3	408109	0.74	Armenia2016		10,546,135,160	3788	Generation X
Argentina	2016	feminino	25-34 anos	2	277452	0.72	Armenia2016		10,546,135,160	3788	Millenials
Argentina	2016	feminino	15-24 anos	1	195422	0.51	Armenia2016		10,546,135,160	3788	Millenials
Argentina	2010	masculino	35-54 anos	4	15543	25.74	Aruba2010		2,467,703,911	25974	Generation X
Argentina	2010	masculino	55-74 anos	2	8660	23.09	Aruba2010		2,467,703,911	25974	Silent
Argentina	2010	feminino	55-74 anos	1	10186	9.82	Aruba2010		2,467,703,911	25974	Silent
Argentina	2010	feminino	15-24 anos	0	6031	0	Aruba2010		2,467,703,911	25974	Millenials
Argentina	2010	feminino	25-34 anos	0	6488	0	Aruba2010		2,467,703,911	25974	Generation X
Argentina	2010	feminino	35-54 anos	0	17826	0	Aruba2010		2,467,703,911	25974	Generation X
Argentina	2010	feminino	5-14 anos	0	7148	0	Aruba2010		2,467,703,911	25974	Generation Z
Argentina	2010	feminino	75+ anos	0	2264	0	Aruba2010		2,467,703,911	25974	Silent
Argentina	2010	masculino	15-24 anos	0	6437	0	Aruba2010		2,467,703,911	25974	Millenials
Argentina	2010	masculino	25-34 anos	0	5568	0	Aruba2010		2,467,703,911	25974	Generation X
Argentina	2010	masculino	5-14 anos	0	7414	0	Aruba2010		2,467,703,911	25974	Generation Z
Argentina	2010	masculino	75+ anos	0	1441	0	Aruba2010		2,467,703,911	25974	Silent
Argentina	2011	masculino	55-74 anos	3	8940	33.56	Aruba2011		2,584,463,687	27066	Boomers
Argentina	2011	masculino	35-54 anos	3	15388	19.5	Aruba2011		2,584,463,687	27066	Generation X
Argentina	2011	feminino	25-34 anos	1	6264	15.96	Aruba2011		2,584,463,687	27066	Millenials
Argentina	2011	masculino	15-24 anos	1	6706	14.91	Aruba2011		2,584,463,687	27066	Millenials
Argentina	2011	feminino	55-74 anos	1	10536	9.49	Aruba2011		2,584,463,687	27066	Boomers
Argentina	2011	feminino	15-24 anos	0	6272	0	Aruba2011		2,584,463,687	27066	Millenials
Argentina	2011	feminino	35-54 anos	0	17691	0	Aruba2011		2,584,463,687	27066	Generation X
Argentina	2011	feminino	5-14 anos	0	7064	0	Aruba2011		2,584,463,687	27066	Generation Z
Argentina	2011	feminino	75+ anos	0	2358	0	Aruba2011		2,584,463,687	27066	Silent
Argentina	2011	masculino	25-34 anos	0	5440	0	Aruba2011		2,584,463,687	27066	Millenials
Argentina	2011	masculino	5-14 anos	0	7324	0	Aruba2011		2,584,463,687	27066	Generation Z
Argentina	2011	masculino	75+ anos	0	1505	0	Aruba2011		2,584,463,687	27066	Silent
Argentina	2010	masculino	35-54 anos	816	3076853	26.52	Australia2010	0.927	1,144,260,547,873	54887	Generation X
Argentina	2010	masculino	75+ anos	151	582009	25.94	Australia2010	0.927	1,144,260,547,873	54887	Silent
Argentina	2010	masculino	25-34 anos	311	1606526	19.36	Australia2010	0.927	1,144,260,547,873	54887	Generation X
Argentina	2010	masculino	55-74 anos	360	2051197	17.55	Australia2010	0.927	1,144,260,547,873	54887	Silent
Argentina	2010	masculino	15-24 anos	222	1618860	13.71	Australia2010	0.927	1,144,260,547,873	54887	Millenials
Argentina	2010	feminino	35-54 anos	228	3132534	7.28	Australia2010	0.927	1,144,260,547,873	54887	Generation X
Argentina	2010	feminino	25-34 anos	94	1579905	5.95	Australia2010	0.927	1,144,260,547,873	54887	Generation X
Argentina	2010	feminino	75+ anos	43	805401	5.34	Australia2010	0.927	1,144,260,547,873	54887	Silent
Argentina	2010	feminino	15-24 anos	80	1521652	5.26	Australia2010	0.927	1,144,260,547,873	54887	Millenials
Argentina	2010	feminino	55-74 anos	104	2103428	4.94	Australia2010	0.927	1,144,260,547,873	54887	Silent
Argentina	2010	masculino	5-14 anos	7	1420846	0.49	Australia2010	0.927	1,144,260,547,873	54887	Generation Z
Argentina	2010	feminino	5-14 anos	4	1348336	0.3	Australia2010	0.927	1,144,260,547,873	54887	Generation Z
Argentina	2011	masculino	75+ anos	146	588053	24.83	Australia2011	0.93	1,394,280,784,778	66770	Silent
Argentina	2011	masculino	35-54 anos	704	3072726	22.91	Australia2011	0.93	1,394,280,784,778	66770	Generation X
Argentina	2011	masculino	25-34 anos	347	1610295	21.55	Australia2011	0.93	1,394,280,784,778	66770	Millenials
Argentina	2011	masculino	55-74 anos	366	2104816	17.39	Australia2011	0.93	1,394,280,784,778	66770	Boomers
Argentina	2011	masculino	15-24 anos	242	1570069	15.41	Australia2011	0.93	1,394,280,784,778	66770	Millenials
Argentina	2011	feminino	35-54 anos	230	3124328	7.36	Australia2011	0.93	1,394,280,784,778	66770	Generation X
Argentina	2011	feminino	15-24 anos	93	1495053	6.22	Australia2011	0.93	1,394,280,784,778	66770	Millenials
Argentina	2011	feminino	55-74 anos	118	2139108	5.52	Australia2011	0.93	1,394,280,784,778	66770	Boomers
Argentina	2011	feminino	75+ anos	45	817927	5.5	Australia2011	0.93	1,394,280,784,778	66770	Silent
Argentina	2011	feminino	25-34 anos	85	1584036	5.37	Australia2011	0.93	1,394,280,784,778	66770	Millenials
Argentina	2011	feminino	5-14 anos	9	1351751	0.67	Australia2011	0.93	1,394,280,784,778	66770	Generation Z
Argentina	2011	masculino	5-14 anos	7	1423748	0.49	Australia2011	0.93	1,394,280,784,778	66770	Generation Z
Argentina	2012	masculino	75+ anos	158	606842	26.04	Australia2012	0.932	1,543,411,012,580	72669	Silent
Argentina	2012	masculino	35-54 anos	802	3098534	25.88	Australia2012	0.932	1,543,411,012,580	72669	Generation X
Argentina	2012	masculino	25-34 anos	351	1657638	21.17	Australia2012	0.932	1,543,411,012,580	72669	Millenials
Argentina	2012	masculino	55-74 anos	396	2162980	18.31	Australia2012	0.932	1,543,411,012,580	72669	Boomers
Argentina	2012	masculino	15-24 anos	217	1579672	13.74	Australia2012	0.932	1,543,411,012,580	72669	Millenials
Argentina	2012	feminino	35-54 anos	258	3149749	8.19	Australia2012	0.932	1,543,411,012,580	72669	Generation X
Argentina	2012	feminino	15-24 anos	109	1503934	7.25	Australia2012	0.932	1,543,411,012,580	72669	Millenials
Argentina	2012	feminino	75+ anos	52	832122	6.25	Australia2012	0.932	1,543,411,012,580	72669	Silent
Argentina	2012	feminino	25-34 anos	98	1630077	6.01	Australia2012	0.932	1,543,411,012,580	72669	Millenials
Argentina	2012	feminino	55-74 anos	123	2206179	5.58	Australia2012	0.932	1,543,411,012,580	72669	Boomers
Argentina	2012	feminino	5-14 anos	10	1368580	0.73	Australia2012	0.932	1,543,411,012,580	72669	Generation Z
Argentina	2012	masculino	5-14 anos	6	1442602	0.42	Australia2012	0.932	1,543,411,012,580	72669	Generation Z
Argentina	2013	masculino	75+ anos	160	627275	25.51	Australia2013	0.933	1,573,696,522,007	72856	Silent
Argentina	2013	masculino	35-54 anos	754	3118829	24.18	Australia2013	0.933	1,573,696,522,007	72856	Generation X
Brazil	2014	masculino	15-24 anos	84	565782	14.85	Czech Republic2014	0.87	207,818,330,724	20859	Millenials
Brazil	2014	feminino	75+ anos	54	464061	11.64	Czech Republic2014	0.87	207,818,330,724	20859	Silent
Brazil	2014	feminino	55-74 anos	107	1356408	7.89	Czech Republic2014	0.87	207,818,330,724	20859	Boomers
Brazil	2014	feminino	35-54 anos	94	1509758	6.23	Czech Republic2014	0.87	207,818,330,724	20859	Generation X
Brazil	2014	feminino	25-34 anos	26	711374	3.65	Czech Republic2014	0.87	207,818,330,724	20859	Millenials
Brazil	2014	feminino	15-24 anos	11	540106	2.04	Czech Republic2014	0.87	207,818,330,724	20859	Millenials
Brazil	2014	feminino	5-14 anos	1	500027	0.2	Czech Republic2014	0.87	207,818,330,724	20859	Generation Z
Brazil	2014	masculino	5-14 anos	1	527532	0.19	Czech Republic2014	0.87	207,818,330,724	20859	Generation Z
Brazil	2015	masculino	75+ anos	145	264401	54.84	Czech Republic2015		186,829,940,546	18703	Silent
Brazil	2015	masculino	55-74 anos	373	1202553	31.02	Czech Republic2015		186,829,940,546	18703	Boomers
Brazil	2015	masculino	35-54 anos	404	1602521	25.21	Czech Republic2015		186,829,940,546	18703	Generation X
Brazil	2015	masculino	25-34 anos	151	737221	20.48	Czech Republic2015		186,829,940,546	18703	Millenials
Brazil	2015	masculino	15-24 anos	58	546597	10.61	Czech Republic2015		186,829,940,546	18703	Millenials
Brazil	2015	feminino	75+ anos	44	471092	9.34	Czech Republic2015		186,829,940,546	18703	Silent
Brazil	2015	feminino	55-74 anos	80	1358421	5.89	Czech Republic2015		186,829,940,546	18703	Boomers
Brazil	2015	feminino	35-54 anos	86	1528289	5.63	Czech Republic2015		186,829,940,546	18703	Generation X
Brazil	2015	feminino	15-24 anos	19	521060	3.65	Czech Republic2015		186,829,940,546	18703	Millenials
Brazil	2015	feminino	25-34 anos	20	698584	2.86	Czech Republic2015		186,829,940,546	18703	Millenials
Brazil	2015	feminino	5-14 anos	5	515457	0.97	Czech Republic2015		186,829,940,546	18703	Generation Z
Brazil	2015	masculino	5-14 anos	2	543129	0.37	Czech Republic2015		186,829,940,546	18703	Generation Z
Brazil	2016	masculino	75+ anos	140	273637	51.16	Czech Republic2016		195,305,084,919	19505	Silent
Brazil	2016	masculino	55-74 anos	319	1205832	26.45	Czech Republic2016		195,305,084,919	19505	Boomers
Brazil	2016	masculino	35-54 anos	386	1617906	23.86	Czech Republic2016		195,305,084,919	19505	Generation X
Brazil	2016	masculino	25-34 anos	137	729199	18.79	Czech Republic2016		195,305,084,919	19505	Millenials
Brazil	2016	masculino	15-24 anos	78	527890	14.78	Czech Republic2016		195,305,084,919	19505	Millenials
Brazil	2016	feminino	55-74 anos	86	1358948	6.33	Czech Republic2016		195,305,084,919	19505	Boomers
Brazil	2016	feminino	35-54 anos	91	1541109	5.9	Czech Republic2016		195,305,084,919	19505	Generation X
Brazil	2016	feminino	75+ anos	25	480884	5.2	Czech Republic2016		195,305,084,919	19505	Silent
Brazil	2016	feminino	25-34 anos	34	691963	4.91	Czech Republic2016		195,305,084,919	19505	Millenials
Brazil	2016	feminino	15-24 anos	22	502574	4.38	Czech Republic2016		195,305,084,919	19505	Millenials
Brazil	2010	masculino	75+ anos	61	153231	39.81	Denmark2010	0.908	321,995,350,347	61711	Silent
Brazil	2010	masculino	55-74 anos	142	613233	23.16	Denmark2010	0.908	321,995,350,347	61711	Silent
Brazil	2010	masculino	35-54 anos	142	791338	17.94	Denmark2010	0.908	321,995,350,347	61711	Generation X
Brazil	2010	masculino	25-34 anos	43	329780	13.04	Denmark2010	0.908	321,995,350,347	61711	Generation X
Brazil	2010	feminino	75+ anos	22	236409	9.31	Denmark2010	0.908	321,995,350,347	61711	Silent
Brazil	2010	feminino	55-74 anos	56	634607	8.82	Denmark2010	0.908	321,995,350,347	61711	Silent
Brazil	2010	feminino	35-54 anos	64	776699	8.24	Denmark2010	0.908	321,995,350,347	61711	Generation X
Brazil	2010	masculino	15-24 anos	17	349175	4.87	Denmark2010	0.908	321,995,350,347	61711	Millenials
Brazil	2010	feminino	15-24 anos	10	333696	3	Denmark2010	0.908	321,995,350,347	61711	Millenials
Brazil	2010	feminino	25-34 anos	6	327722	1.83	Denmark2010	0.908	321,995,350,347	61711	Generation X
Brazil	2010	feminino	5-14 anos	0	327790	0	Denmark2010	0.908	321,995,350,347	61711	Generation Z
Brazil	2010	masculino	5-14 anos	0	344105	0	Denmark2010	0.908	321,995,350,347	61711	Generation Z
Brazil	2011	masculino	75+ anos	48	156856	30.6	Denmark2011	0.92	344,003,209,696	65598	Silent
Brazil	2011	masculino	35-54 anos	189	791137	23.89	Denmark2011	0.92	344,003,209,696	65598	Generation X
Brazil	2011	masculino	55-74 anos	139	621859	22.35	Denmark2011	0.92	344,003,209,696	65598	Boomers
Brazil	2011	masculino	25-34 anos	35	326633	10.72	Denmark2011	0.92	344,003,209,696	65598	Millenials
Brazil	2011	feminino	75+ anos	22	237867	9.25	Denmark2011	0.92	344,003,209,696	65598	Silent
Brazil	2011	feminino	55-74 anos	57	643276	8.86	Denmark2011	0.92	344,003,209,696	65598	Boomers
Brazil	2011	masculino	15-24 anos	26	356319	7.3	Denmark2011	0.92	344,003,209,696	65598	Millenials
Brazil	2011	feminino	35-54 anos	50	778373	6.42	Denmark2011	0.92	344,003,209,696	65598	Generation X
Brazil	2011	feminino	25-34 anos	12	323639	3.71	Denmark2011	0.92	344,003,209,696	65598	Millenials
Brazil	2011	feminino	15-24 anos	11	340056	3.23	Denmark2011	0.92	344,003,209,696	65598	Millenials
Brazil	2011	feminino	5-14 anos	0	326359	0	Denmark2011	0.92	344,003,209,696	65598	Generation Z
Brazil	2011	masculino	5-14 anos	0	341776	0	Denmark2011	0.92	344,003,209,696	65598	Generation Z
Brazil	2012	masculino	75+ anos	67	161259	41.55	Denmark2012	0.921	327,148,899,962	62071	Silent
Brazil	2012	masculino	35-54 anos	209	788215	26.52	Denmark2012	0.921	327,148,899,962	62071	Generation X
Brazil	2012	masculino	55-74 anos	153	630159	24.28	Denmark2012	0.921	327,148,899,962	62071	Boomers
Brazil	2012	feminino	55-74 anos	71	651381	10.9	Denmark2012	0.921	327,148,899,962	62071	Boomers
Brazil	2012	masculino	25-34 anos	31	326746	9.49	Denmark2012	0.921	327,148,899,962	62071	Millenials
Brazil	2012	masculino	15-24 anos	33	362466	9.1	Denmark2012	0.921	327,148,899,962	62071	Millenials
Brazil	2012	feminino	75+ anos	19	240759	7.89	Denmark2012	0.921	327,148,899,962	62071	Silent
Brazil	2012	feminino	35-54 anos	58	776419	7.47	Denmark2012	0.921	327,148,899,962	62071	Generation X
Brazil	2012	feminino	25-34 anos	11	322504	3.41	Denmark2012	0.921	327,148,899,962	62071	Millenials
Brazil	2012	feminino	15-24 anos	8	346154	2.31	Denmark2012	0.921	327,148,899,962	62071	Millenials
Brazil	2012	masculino	5-14 anos	1	340022	0.29	Denmark2012	0.921	327,148,899,962	62071	Generation Z
Brazil	2012	feminino	5-14 anos	0	324455	0	Denmark2012	0.921	327,148,899,962	62071	Generation Z
Brazil	2013	masculino	75+ anos	62	166011	37.35	Denmark2013	0.923	343,584,385,594	64831	Silent
Brazil	2013	masculino	55-74 anos	157	637775	24.62	Denmark2013	0.923	343,584,385,594	64831	Boomers
Brazil	2013	masculino	35-54 anos	174	785198	22.16	Denmark2013	0.923	343,584,385,594	64831	Generation X
Brazil	2013	feminino	75+ anos	25	243880	10.25	Denmark2013	0.923	343,584,385,594	64831	Silent
Brazil	2013	masculino	25-34 anos	33	328192	10.06	Denmark2013	0.923	343,584,385,594	64831	Millenials
Brazil	2013	feminino	55-74 anos	52	658936	7.89	Denmark2013	0.923	343,584,385,594	64831	Boomers
Brazil	2013	feminino	35-54 anos	54	775088	6.97	Denmark2013	0.923	343,584,385,594	64831	Generation X
Brazil	2013	masculino	15-24 anos	23	367000	6.27	Denmark2013	0.923	343,584,385,594	64831	Millenials
Brazil	2013	feminino	25-34 anos	16	322819	4.96	Denmark2013	0.923	343,584,385,594	64831	Millenials
Brazil	2013	feminino	15-24 anos	12	350607	3.42	Denmark2013	0.923	343,584,385,594	64831	Millenials
Brazil	2013	feminino	5-14 anos	1	324362	0.31	Denmark2013	0.923	343,584,385,594	64831	Generation Z
Brazil	2013	masculino	5-14 anos	1	339830	0.29	Denmark2013	0.923	343,584,385,594	64831	Generation Z
Brazil	2014	masculino	75+ anos	61	172150	35.43	Denmark2014	0.923	352,993,633,221	66114	Silent
Brazil	2014	masculino	55-74 anos	155	645001	24.03	Denmark2014	0.923	352,993,633,221	66114	Boomers
Brazil	2014	masculino	35-54 anos	178	784300	22.7	Denmark2014	0.923	352,993,633,221	66114	Generation X
Brazil	2014	feminino	75+ anos	36	248889	14.46	Denmark2014	0.923	352,993,633,221	66114	Silent
Brazil	2014	masculino	25-34 anos	43	333712	12.89	Denmark2014	0.923	352,993,633,221	66114	Millenials
Brazil	2014	masculino	15-24 anos	31	370570	8.37	Denmark2014	0.923	352,993,633,221	66114	Millenials
Brazil	2014	feminino	35-54 anos	59	774379	7.62	Denmark2014	0.923	352,993,633,221	66114	Generation X
Brazil	2014	feminino	55-74 anos	50	666386	7.5	Denmark2014	0.923	352,993,633,221	66114	Boomers
Brazil	2014	feminino	25-34 anos	7	325866	2.15	Denmark2014	0.923	352,993,633,221	66114	Millenials
Brazil	2014	feminino	15-24 anos	7	354099	1.98	Denmark2014	0.923	352,993,633,221	66114	Millenials
Brazil	2014	feminino	5-14 anos	1	323749	0.31	Denmark2014	0.923	352,993,633,221	66114	Generation Z
Brazil	2014	masculino	5-14 anos	1	340065	0.29	Denmark2014	0.923	352,993,633,221	66114	Generation Z
Brazil	2015	masculino	75+ anos	57	178633	31.91	Denmark2015		301,298,464,861	55972	Silent
Brazil	2015	masculino	35-54 anos	159	783366	20.3	Denmark2015		301,298,464,861	55972	Generation X
Brazil	2015	masculino	55-74 anos	126	651856	19.33	Denmark2015		301,298,464,861	55972	Boomers
Brazil	2015	feminino	75+ anos	32	253300	12.63	Denmark2015		301,298,464,861	55972	Silent
Brazil	2015	feminino	55-74 anos	67	673655	9.95	Denmark2015		301,298,464,861	55972	Boomers
Brazil	2015	masculino	25-34 anos	30	342769	8.75	Denmark2015		301,298,464,861	55972	Millenials
Brazil	2015	feminino	35-54 anos	51	772844	6.6	Denmark2015		301,298,464,861	55972	Generation X
Brazil	2015	masculino	15-24 anos	18	374051	4.81	Denmark2015		301,298,464,861	55972	Millenials
Brazil	2015	feminino	25-34 anos	15	331400	4.53	Denmark2015		301,298,464,861	55972	Millenials
Brazil	2015	feminino	15-24 anos	6	356882	1.68	Denmark2015		301,298,464,861	55972	Millenials
Brazil	2015	feminino	5-14 anos	3	323821	0.93	Denmark2015		301,298,464,861	55972	Generation Z
Brazil	2015	masculino	5-14 anos	0	340483	0	Denmark2015		301,298,464,861	55972	Generation Z
Brazil	2010	masculino	15-24 anos	214	1436267	14.9	Ecuador2010	0.717	69,555,367,000	5206	Millenials
Brazil	2010	masculino	25-34 anos	171	1181648	14.47	Ecuador2010	0.717	69,555,367,000	5206	Generation X
Brazil	2010	masculino	35-54 anos	165	1639225	10.07	Ecuador2010	0.717	69,555,367,000	5206	Generation X
Brazil	2010	masculino	55-74 anos	68	713198	9.53	Ecuador2010	0.717	69,555,367,000	5206	Silent
Brazil	2010	masculino	75+ anos	14	160404	8.73	Ecuador2010	0.717	69,555,367,000	5206	Silent
Brazil	2010	feminino	15-24 anos	113	1395797	8.1	Ecuador2010	0.717	69,555,367,000	5206	Millenials
Brazil	2010	feminino	25-34 anos	60	1175139	5.11	Ecuador2010	0.717	69,555,367,000	5206	Generation X
Brazil	2010	feminino	75+ anos	6	200768	2.99	Ecuador2010	0.717	69,555,367,000	5206	Silent
Brazil	2010	feminino	55-74 anos	18	766861	2.35	Ecuador2010	0.717	69,555,367,000	5206	Silent
Brazil	2010	feminino	35-54 anos	39	1675740	2.33	Ecuador2010	0.717	69,555,367,000	5206	Generation X
Brazil	2010	masculino	5-14 anos	26	1536680	1.69	Ecuador2010	0.717	69,555,367,000	5206	Generation Z
